task_id,title,description,created_at,due_date,estimated_hours,actual_hours,assigned_user,status,task_type,priority,priority_score,tags,user_workload_hours,days_until_due,is_overdue
TASK-1057,Research doc update for database/user profile improvement,"This task involves implementing performance improvement related to database. Expected steps: write tests, refactor, deploy.",2025-08-27 19:09:28,2025-09-09 19:09:28,23.3,17.4,user_23,open,maintenance,high,43.03,"frontend,perf,research",46.5,13,1
TASK-1058,Implement feature for reports/email flow feature,"This task involves updating a new feature related to reports. Expected steps: investigation, fix, release.",2025-09-13 22:21:28,2025-10-07 22:21:28,30.9,28.0,user_5,in_progress,bug,high,30.72,"frontend,api",43.9,24,1
TASK-1059,Fix optimization in database/email flow module,"This task involves implementing a new feature related to database. Expected steps: design, implementation.",2025-09-17 04:39:23,2025-10-16 04:39:23,38.9,42.8,user_30,open,feature,high,28.06,"research,api",48.3,29,1
TASK-1060,Research feature for payment/dashboard improvement,"This task involves updating performance improvement related to payment. Expected steps: investigation, fix, release.",2025-08-27 07:23:07,2025-09-09 07:23:07,1.5,1.9,user_15,open,documentation,high,40.72,"api,backend,docs",28.3,13,1
TASK-1061,Refactor refactor in analytics/email flow,"This task involves implementing a bug related to analytics. Expected steps: write tests, refactor, deploy.",2025-09-20 21:07:35,2025-09-30 21:07:35,26.3,22.5,user_2,done,documentation,high,36.74,backend,14.1,10,1
TASK-1062,Refactor optimization in UI/search ranking,"This task involves writing an API change related to UI. Expected steps: write tests, refactor, deploy.",2025-09-11 05:15:08,2025-10-05 05:15:08,7.0,6.6,user_4,blocked,research,high,27.94,"frontend,api",13.0,24,1
TASK-1063,Research bug for API/email flow improvement,"This task involves updating documentation related to API. Expected steps: investigation, fix, release.",2025-08-26 09:57:48,2025-09-04 09:57:48,8.4,5.6,user_28,blocked,bug,high,44.99,"ci,frontend,security",47.2,9,1
TASK-1064,Implement feature for UI/reporting feature,"This task involves fixing an API change related to UI. Expected steps: design, implementation.",2025-09-11 04:33:47,2025-10-08 04:33:47,34.9,22.4,user_5,blocked,research,high,29.99,bugfix,32.4,27,1
TASK-1065,Implement feature for payment/login flow feature,"This task involves fixing documentation related to payment. Expected steps: design, implementation.",2025-09-11 06:20:29,2025-09-12 06:20:29,7.8,9.7,user_24,in_progress,bug,high,41.29,"perf,api",30.8,1,1
TASK-1066,Fix feature in profile/ETL module,"This task involves refactoring a bug related to profile. Expected steps: investigation, fix, release.",2025-09-07 08:09:28,2025-09-08 08:09:28,3.4,4.8,user_13,in_progress,bug,high,41.13,"backend,ci",19.3,1,1
TASK-1067,Implement doc update for payment/dashboard feature,"This task involves refactoring an API change related to payment. Expected steps: investigation, fix, release.",2025-09-05 00:37:06,2025-09-25 00:37:06,21.7,21.2,user_20,in_progress,bug,high,38.1,"security,docs,db",27.1,20,1
TASK-1068,Implement optimization for search/email flow feature,"This task involves researching performance improvement related to search. Expected steps: analysis, design, implementation, testing.",2025-09-02 23:24:08,2025-09-13 23:24:08,26.9,35.0,user_5,in_progress,maintenance,high,40.72,backend,25.9,11,1
TASK-1069,Update refactor documentation for notifications/dashboard,"This task involves fixing an API change related to notifications. Expected steps: investigation, fix, release.",2025-09-13 16:46:37,2025-09-27 16:46:37,14.8,16.4,user_25,in_progress,bug,high,35.8,"research,api,backend",34.7,14,1
TASK-1070,Implement feature for UI/user profile feature,"This task involves fixing documentation related to UI. Expected steps: investigation, fix, release.",2025-08-28 01:05:05,2025-09-06 01:05:05,23.4,18.9,user_28,in_progress,research,high,46.75,"security,frontend,research",1.7,9,1
TASK-1071,Write doc update for database/email flow,"This task involves fixing a new feature related to database. Expected steps: design, implementation.",2025-09-10 14:07:07,2025-09-23 14:07:07,3.7,4.1,user_1,open,research,high,32.32,"perf,api",9.4,13,1
TASK-1072,Write refactor for notifications/reporting,"This task involves fixing a bug related to notifications. Expected steps: design, implementation.",2025-08-29 07:42:09,2025-09-18 07:42:09,2.9,4.2,user_15,in_progress,maintenance,high,36.62,"research,docs",45.3,20,1
TASK-1073,Fix bug in notifications/search ranking module,"This task involves writing an API change related to notifications. Expected steps: write tests, refactor, deploy.",2025-09-09 09:45:35,2025-09-19 09:45:35,2.8,2.8,user_20,open,feature,high,34.57,bugfix,45.8,10,1
TASK-1074,Write bug for notifications/checkout,"This task involves researching performance improvement related to notifications. Expected steps: design, implementation.",2025-08-28 11:22:52,2025-09-15 11:22:52,28.4,41.7,user_27,in_progress,documentation,high,40.54,"frontend,db,ci",27.6,18,1
TASK-1075,Fix optimization in notifications/reporting module,"This task involves refactoring performance improvement related to notifications. Expected steps: write tests, refactor, deploy.",2025-09-02 06:49:06,2025-09-15 06:49:06,1.8,0.4,user_26,done,maintenance,high,39.02,"backend,db",50.7,13,1
TASK-1076,Implement optimization for search/reporting feature,"This task involves refactoring a bug related to search. Expected steps: write tests, refactor, deploy.",2025-09-19 17:08:42,2025-10-13 17:08:42,14.2,17.7,user_6,open,bug,high,25.49,api,21.1,24,1
TASK-1077,Update bug documentation for UI/endpoint,"This task involves implementing documentation related to UI. Expected steps: design, implementation.",2025-08-29 19:17:12,2025-09-03 19:17:12,30.6,31.4,user_6,done,maintenance,high,48.44,"ci,perf,api",51.9,5,1
TASK-1078,Update optimization documentation for notifications/dashboard,"This task involves fixing performance improvement related to notifications. Expected steps: write tests, refactor, deploy.",2025-09-12 12:57:52,2025-10-08 12:57:52,11.7,10.7,user_17,open,maintenance,high,27.6,api,49.9,26,1
TASK-1079,Fix refactor in payment/reporting module,"This task involves refactoring performance improvement related to payment. Expected steps: write tests, refactor, deploy.",2025-09-11 00:12:16,2025-10-07 00:12:16,29.8,30.6,user_30,blocked,feature,high,31.07,"security,bugfix",57.5,26,1
TASK-1080,Research bug for payment/email flow improvement,"This task involves refactoring a new feature related to payment. Expected steps: analysis, design, implementation, testing.",2025-09-01 00:44:34,2025-09-16 00:44:34,39.6,16.0,user_20,open,documentation,high,46.51,"db,api",40.7,15,1
TASK-1081,Fix doc update in notifications/checkout module,"This task involves fixing an API change related to notifications. Expected steps: write tests, refactor, deploy.",2025-09-02 02:57:11,2025-09-26 02:57:11,34.2,31.9,,in_progress,feature,high,37.51,"bugfix,api,research",58.1,24,1
TASK-1082,Update refactor documentation for search/dashboard,"This task involves updating a bug related to search. Expected steps: investigation, fix, release.",2025-09-10 08:47:28,2025-10-01 08:47:28,31.9,35.3,user_22,in_progress,research,high,33.35,"db,security,api",1.1,21,1
TASK-1083,Write doc update for UI/endpoint,"This task involves researching a new feature related to UI. Expected steps: design, implementation.",2025-09-23 14:21:02,2025-09-28 14:21:02,4.0,5.8,user_4,in_progress,research,high,32.98,"frontend,api,bugfix",35.8,5,1
TASK-1084,Implement refactor for UI/dashboard feature,"This task involves implementing performance improvement related to UI. Expected steps: analysis, design, implementation, testing.",2025-09-05 22:11:08,2025-09-27 22:11:08,29.1,24.6,,in_progress,maintenance,high,34.99,research,57.9,22,1
TASK-1085,Research refactor for API/email flow improvement,"This task involves researching performance improvement related to API. Expected steps: investigation, fix, release.",2025-09-16 22:37:00,2025-10-03 22:37:00,21.6,16.4,,blocked,research,high,30.01,"frontend,perf",52.4,17,1
TASK-1086,Refactor bug in payment/ETL,"This task involves writing a bug related to payment. Expected steps: design, implementation.",2025-09-01 18:46:37,2025-09-30 18:46:37,21.0,17.8,user_3,done,feature,high,34.78,"frontend,db",3.2,29,1
TASK-1087,Refactor optimization in notifications/endpoint,"This task involves fixing documentation related to notifications. Expected steps: design, implementation.",2025-08-25 10:39:44,2025-09-24 10:39:44,4.9,6.2,user_11,blocked,feature,high,31.17,"bugfix,perf",26.9,30,1
TASK-1088,Fix doc update in payment/login flow module,"This task involves implementing a new feature related to payment. Expected steps: write tests, refactor, deploy.",2025-08-27 22:25:19,2025-09-06 22:25:19,10.3,11.3,user_8,in_progress,research,high,42.85,perf,35.8,10,1
TASK-1089,Fix feature in analytics/reporting module,"This task involves updating a new feature related to analytics. Expected steps: investigation, fix, release.",2025-09-06 11:25:09,2025-09-26 11:25:09,14.8,12.4,user_6,in_progress,bug,high,34.58,"backend,security",32.6,20,1
TASK-1090,Refactor optimization in analytics/login flow,"This task involves researching a bug related to analytics. Expected steps: write tests, refactor, deploy.",2025-09-23 00:42:56,2025-10-02 00:42:56,30.1,34.7,user_3,open,bug,high,35.88,"api,bugfix,frontend",21.1,9,1
TASK-1091,Write optimization for UI/user profile,"This task involves updating a new feature related to UI. Expected steps: design, implementation.",2025-08-26 11:47:59,2025-09-20 11:47:59,37.8,38.9,user_7,open,feature,high,43.99,"research,security",23.9,25,1
TASK-1092,Refactor bug in profile/schema,"This task involves updating a new feature related to profile. Expected steps: investigation, fix, release.",2025-09-04 07:23:19,2025-09-29 07:23:19,2.9,3.7,user_9,open,documentation,high,30.26,"perf,db",20.3,25,1
TASK-1093,Implement doc update for profile/user profile feature,"This task involves refactoring documentation related to profile. Expected steps: analysis, design, implementation, testing.",2025-09-15 09:51:57,2025-09-18 09:51:57,17.8,14.1,,open,documentation,high,38.17,api,39.7,3,1
TASK-1094,Write optimization for profile/reporting,"This task involves implementing performance improvement related to profile. Expected steps: investigation, fix, release.",2025-09-07 00:18:02,2025-10-01 00:18:02,34.9,31.5,user_14,open,bug,high,33.86,"db,api,bugfix",57.2,24,1
TASK-1095,Implement bug for reports/user profile feature,"This task involves implementing a bug related to reports. Expected steps: design, implementation.",2025-09-16 22:53:54,2025-09-28 22:53:54,15.1,13.3,,open,feature,high,33.92,"api,perf",45.8,12,1
TASK-1096,Refactor doc update in UI/ETL,"This task involves researching documentation related to UI. Expected steps: investigation, fix, release.",2025-09-01 02:05:16,2025-09-05 02:05:16,2.0,1.1,user_17,open,research,high,40.49,"perf,docs",59.8,4,1
TASK-1097,Write bug for profile/endpoint,"This task involves implementing a bug related to profile. Expected steps: write tests, refactor, deploy.",2025-08-29 18:40:48,2025-09-21 18:40:48,18.4,20.0,user_22,done,documentation,high,38.02,"backend,security,research",53.5,23,1
TASK-1098,Implement refactor for UI/email flow feature,"This task involves implementing a bug related to UI. Expected steps: design, implementation.",2025-09-17 08:39:16,2025-09-25 08:39:16,31.8,34.3,user_18,in_progress,maintenance,high,39.88,"bugfix,backend,security",18.6,8,1
TASK-1099,Update optimization documentation for profile/ETL,"This task involves researching an API change related to profile. Expected steps: analysis, design, implementation, testing.",2025-08-28 08:36:09,2025-09-08 08:36:09,26.1,26.1,user_22,in_progress,feature,high,47.61,"ci,bugfix,security",26.0,11,1
TASK-1100,Fix feature in payment/ETL module,"This task involves writing a new feature related to payment. Expected steps: design, implementation.",2025-09-03 06:40:59,2025-09-26 06:40:59,9.8,9.1,,in_progress,documentation,high,35.19,"docs,security",16.5,23,1
TASK-1101,Update refactor documentation for database/reporting,"This task involves fixing an API change related to database. Expected steps: design, implementation.",2025-09-11 08:28:10,2025-09-30 08:28:10,7.0,4.0,user_24,done,documentation,high,32.61,"frontend,ci,backend",2.7,19,1
TASK-1102,Update feature documentation for reports/schema,"This task involves refactoring performance improvement related to reports. Expected steps: analysis, design, implementation, testing.",2025-09-08 12:57:17,2025-09-29 12:57:17,22.3,19.5,user_10,in_progress,maintenance,high,33.45,frontend,9.5,21,1
TASK-1103,Research feature for profile/user profile improvement,"This task involves writing an API change related to profile. Expected steps: design, implementation.",2025-09-02 23:25:36,2025-09-25 23:25:36,13.5,12.1,,open,maintenance,high,32.35,"security,ci",6.4,23,1
TASK-1104,Implement doc update for profile/checkout feature,"This task involves researching a new feature related to profile. Expected steps: design, implementation.",2025-08-27 12:04:18,2025-09-06 12:04:18,37.9,28.8,,in_progress,feature,high,50.65,"api,docs,bugfix",29.9,10,1
TASK-1105,Refactor doc update in profile/user profile,"This task involves researching a bug related to profile. Expected steps: analysis, design, implementation, testing.",2025-09-21 22:56:06,2025-10-08 22:56:06,18.8,17.9,user_19,open,bug,high,27.67,"perf,research,frontend",50.8,17,1
TASK-1106,Research doc update for UI/schema improvement,"This task involves researching documentation related to UI. Expected steps: analysis, design, implementation, testing.",2025-09-05 14:47:10,2025-09-24 14:47:10,22.9,25.7,user_10,open,research,high,36.33,"research,backend,bugfix",58.5,19,1
TASK-1107,Research refactor for notifications/email flow improvement,"This task involves writing a new feature related to notifications. Expected steps: design, implementation.",2025-09-11 16:08:26,2025-09-24 16:08:26,20.5,32.1,user_5,in_progress,maintenance,high,36.2,ci,53.6,13,1
TASK-1108,Implement doc update for notifications/reporting feature,"This task involves implementing performance improvement related to notifications. Expected steps: investigation, fix, release.",2025-09-11 09:50:57,2025-09-28 09:50:57,33.3,35.0,user_23,in_progress,maintenance,high,38.74,"api,backend",58.8,17,1
TASK-1109,Refactor refactor in database/login flow,"This task involves researching documentation related to database. Expected steps: design, implementation.",2025-09-15 05:46:31,2025-10-04 05:46:31,19.7,21.2,user_24,in_progress,maintenance,high,29.68,"docs,frontend,backend",11.4,19,1
TASK-1110,Research feature for notifications/search ranking improvement,"This task involves researching a new feature related to notifications. Expected steps: write tests, refactor, deploy.",2025-09-08 15:40:38,2025-09-28 15:40:38,36.9,36.1,,in_progress,bug,high,38.41,"docs,security,api",59.9,20,1
TASK-1111,Research doc update for analytics/search ranking improvement,"This task involves implementing performance improvement related to analytics. Expected steps: investigation, fix, release.",2025-09-09 23:41:02,2025-10-01 23:41:02,31.1,13.2,user_21,blocked,documentation,high,35.27,docs,16.7,22,1
TASK-1112,Write doc update for API/schema,"This task involves updating a new feature related to API. Expected steps: write tests, refactor, deploy.",2025-09-03 02:38:12,2025-09-15 02:38:12,22.9,22.7,,in_progress,documentation,high,39.69,"security,db,ci",49.1,12,1
TASK-1113,Implement doc update for database/login flow feature,"This task involves updating a bug related to database. Expected steps: investigation, fix, release.",2025-09-21 07:39:15,2025-10-12 07:39:15,11.0,11.2,user_7,blocked,documentation,high,27.87,"research,bugfix,backend",36.9,21,1
TASK-1114,Refactor bug in API/endpoint,"This task involves updating an API change related to API. Expected steps: design, implementation.",2025-09-12 17:41:15,2025-09-14 17:41:15,4.9,8.5,user_16,open,feature,high,35.51,"bugfix,db,perf",28.6,2,1
